subject_id,dis,hp_class,h_class,v_class,image_path
0001,2,2,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_0V_5H.jpg
0001,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_-10V_15H.jpg
0001,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_-15P_10V_-5H.jpg
0001,2,3,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_-15P_0V_10H.jpg
0001,2,2,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_-10V_5H.jpg
0002,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_-10V_-10H.jpg
0002,2,4,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_-30P_0V_0H.jpg
0002,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_0V_-5H.jpg
0002,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_15P_-10V_-5H.jpg
0002,2,4,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_0V_0H.jpg
0003,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_-30P_10V_15H.jpg
0003,2,2,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_0P_-10V_-10H.jpg
0003,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_-15P_-10V_15H.jpg
0003,2,2,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_0P_0V_10H.jpg
0003,2,2,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_0P_0V_0H.jpg
0004,2,3,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0004/0004_2m_15P_0V_-5H.jpg
0004,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0004/0004_2m_30P_10V_10H.jpg
0004,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0004/0004_2m_30P_10V_5H.jpg
0004,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0004/0004_2m_-15P_0V_15H.jpg
0004,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0004/0004_2m_15P_10V_-15H.jpg
0005,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0005/0005_2m_15P_10V_-5H.jpg
0005,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0005/0005_2m_-30P_0V_5H.jpg
0005,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0005/0005_2m_-15P_10V_-5H.jpg
0005,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0005/0005_2m_15P_-10V_5H.jpg
0005,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0005/0005_2m_30P_10V_5H.jpg
0006,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0006/0006_2m_30P_0V_5H.jpg
0006,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0006/0006_2m_-30P_10V_-5H.jpg
0006,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0006/0006_2m_-30P_0V_10H.jpg
0006,2,4,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0006/0006_2m_30P_10V_0H.jpg
0006,2,3,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0006/0006_2m_-15P_0V_-10H.jpg
0007,2,2,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0007/0007_2m_0P_0V_5H.jpg
0007,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0007/0007_2m_15P_10V_0H.jpg
0007,2,4,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0007/0007_2m_-30P_10V_0H.jpg
0007,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0007/0007_2m_0P_-10V_-15H.jpg
0007,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0007/0007_2m_15P_-10V_10H.jpg
0008,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0008/0008_2m_-15P_10V_15H.jpg
0008,2,2,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0008/0008_2m_0P_-10V_-5H.jpg
0008,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0008/0008_2m_0P_-10V_-15H.jpg
0008,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0008/0008_2m_0P_10V_15H.jpg
0008,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0008/0008_2m_30P_10V_15H.jpg
0009,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0009/0009_2m_15P_0V_-15H.jpg
0009,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0009/0009_2m_-15P_10V_-5H.jpg
0009,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0009/0009_2m_15P_10V_-5H.jpg
0009,2,4,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0009/0009_2m_-30P_0V_15H.jpg
0009,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0009/0009_2m_-15P_-10V_-10H.jpg
0010,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0010/0010_2m_-30P_-10V_5H.jpg
0010,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0010/0010_2m_15P_10V_10H.jpg
0010,2,4,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0010/0010_2m_30P_0V_0H.jpg
0010,2,2,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0010/0010_2m_0P_0V_-10H.jpg
0010,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0010/0010_2m_15P_-10V_5H.jpg
0011,2,4,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0011/0011_2m_30P_0V_15H.jpg
0011,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0011/0011_2m_-15P_10V_5H.jpg
0011,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0011/0011_2m_-30P_-10V_5H.jpg
0011,2,2,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0011/0011_2m_0P_10V_-10H.jpg
0011,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0011/0011_2m_-30P_-10V_15H.jpg
0012,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0012/0012_2m_-30P_0V_-5H.jpg
0012,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0012/0012_2m_30P_-10V_-5H.jpg
0012,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0012/0012_2m_-15P_-10V_0H.jpg
0012,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0012/0012_2m_30P_0V_10H.jpg
0012,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0012/0012_2m_-30P_-10V_-10H.jpg
0013,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0013/0013_2m_30P_-10V_-10H.jpg
0013,2,4,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0013/0013_2m_30P_0V_-15H.jpg
0013,2,2,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0013/0013_2m_0P_10V_-10H.jpg
0013,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0013/0013_2m_-15P_-10V_15H.jpg
0013,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0013/0013_2m_-30P_-10V_-15H.jpg
0014,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0014/0014_2m_15P_10V_0H.jpg
0014,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0014/0014_2m_30P_0V_10H.jpg
0014,2,4,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0014/0014_2m_-30P_10V_0H.jpg
0014,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0014/0014_2m_30P_10V_5H.jpg
0014,2,3,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0014/0014_2m_15P_0V_5H.jpg
0015,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0015/0015_2m_-30P_-10V_10H.jpg
0015,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0015/0015_2m_15P_10V_-10H.jpg
0015,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0015/0015_2m_-30P_0V_-5H.jpg
0015,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0015/0015_2m_15P_-10V_5H.jpg
0015,2,2,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0015/0015_2m_0P_-10V_10H.jpg
0016,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0016/0016_2m_15P_10V_-5H.jpg
0016,2,2,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0016/0016_2m_0P_10V_-5H.jpg
0016,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0016/0016_2m_15P_0V_-15H.jpg
0016,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0016/0016_2m_-30P_10V_10H.jpg
0016,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0016/0016_2m_-15P_-10V_-5H.jpg
0017,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0017/0017_2m_30P_-10V_-5H.jpg
0017,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0017/0017_2m_15P_10V_0H.jpg
0017,2,4,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0017/0017_2m_-30P_10V_0H.jpg
0017,2,2,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0017/0017_2m_0P_-10V_0H.jpg
0017,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0017/0017_2m_-15P_-10V_-10H.jpg
0018,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0018/0018_2m_-15P_-10V_0H.jpg
0018,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0018/0018_2m_-15P_-10V_15H.jpg
0018,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0018/0018_2m_-30P_0V_5H.jpg
0018,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0018/0018_2m_0P_-10V_-15H.jpg
0018,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0018/0018_2m_30P_0V_5H.jpg
0019,2,3,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0019/0019_2m_-15P_0V_-10H.jpg
0019,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0019/0019_2m_-15P_10V_15H.jpg
0019,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0019/0019_2m_30P_-10V_-5H.jpg
0019,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0019/0019_2m_15P_-10V_5H.jpg
0019,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0019/0019_2m_-30P_0V_5H.jpg
0020,2,2,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0020/0020_2m_0P_0V_0H.jpg
0020,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0020/0020_2m_15P_10V_10H.jpg
0020,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0020/0020_2m_30P_0V_10H.jpg
0020,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0020/0020_2m_15P_-10V_0H.jpg
0020,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0020/0020_2m_-30P_-10V_10H.jpg
0021,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0021/0021_2m_30P_0V_-5H.jpg
0021,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0021/0021_2m_15P_0V_15H.jpg
0021,2,2,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0021/0021_2m_0P_0V_-10H.jpg
0021,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0021/0021_2m_-15P_0V_15H.jpg
0021,2,2,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0021/0021_2m_0P_10V_0H.jpg
0022,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0022/0022_2m_-30P_-10V_-15H.jpg
0022,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0022/0022_2m_-30P_10V_10H.jpg
0022,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0022/0022_2m_-15P_10V_15H.jpg
0022,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0022/0022_2m_-30P_0V_-10H.jpg
0022,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0022/0022_2m_-15P_10V_-5H.jpg
0023,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0023/0023_2m_-15P_10V_0H.jpg
0023,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0023/0023_2m_15P_-10V_-5H.jpg
0023,2,2,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0023/0023_2m_0P_0V_-5H.jpg
0023,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0023/0023_2m_15P_10V_5H.jpg
0023,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0023/0023_2m_15P_-10V_10H.jpg
0024,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0024/0024_2m_30P_10V_-15H.jpg
0024,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0024/0024_2m_15P_-10V_10H.jpg
0024,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0024/0024_2m_-15P_-10V_-15H.jpg
0024,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0024/0024_2m_-15P_-10V_15H.jpg
0024,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0024/0024_2m_30P_-10V_-5H.jpg
0025,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0025/0025_2m_-15P_-10V_-15H.jpg
0025,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0025/0025_2m_30P_-10V_-10H.jpg
0025,2,4,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0025/0025_2m_-30P_-10V_0H.jpg
0025,2,4,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0025/0025_2m_-30P_0V_-10H.jpg
0025,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0025/0025_2m_15P_-10V_15H.jpg
0026,2,4,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0026/0026_2m_30P_0V_-15H.jpg
0026,2,4,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0026/0026_2m_30P_-10V_5H.jpg
0026,2,4,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0026/0026_2m_-30P_0V_-15H.jpg
0026,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0026/0026_2m_-15P_10V_-5H.jpg
0026,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0026/0026_2m_30P_-10V_15H.jpg
0027,2,2,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0027/0027_2m_0P_0V_-5H.jpg
0027,2,3,6,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0027/0027_2m_15P_0V_-15H.jpg
0027,2,3,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0027/0027_2m_15P_-10V_0H.jpg
0027,2,2,3,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0027/0027_2m_0P_10V_0H.jpg
0027,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0027/0027_2m_-15P_-10V_10H.jpg
0028,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0028/0028_2m_30P_-10V_-15H.jpg
0028,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0028/0028_2m_-30P_10V_-15H.jpg
0028,2,3,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0028/0028_2m_15P_-10V_10H.jpg
0028,2,2,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0028/0028_2m_0P_-10V_5H.jpg
